,dz,overlap,types,nx,ny,status
AWwcKwjKtlu8mXvNnxPs,0.1,False,rectangle-ellipse-ellipse,112.0,112.0,train
9AucYZYZbWkwDsHtDLr1,0.1,False,polygon,112.0,112.0,test
LfAr94hFLzSMeoNDVQOE,0.1,False,square,112.0,112.0,test
oZbjBEaqSqgLh4qekUr8,0.1,False,shoe-polygon-circle-ellipse,112.0,112.0,val
YJyArb2KPrrMpxAF0t8y,0.1,False,polygon-square,112.0,112.0,train
2N3siyByOLMO9Am5lD47,0.1,False,ellipse-rectangle-circle-ring,112.0,112.0,train
nWdUTCycYZhU9eoIehnk,0.1,False,ellipse-square,112.0,112.0,train
g8aDJFNSV6uC5r16oxb3,0.1,False,square,112.0,112.0,train
h4zJPErbzHVkKhYUC98w,0.1,False,square-ellipse-ellipse-square,112.0,112.0,train
UNOOKH4AyE3QGtRvScMM,0.1,False,shoe-rectangle,112.0,112.0,test
ZKHfj0ajdJzHK5lt5tyL,0.1,False,polygon-ring-shoe-rectangle,112.0,112.0,train
vr36YTiicaa3w6NP5g9X,0.1,False,ellipse-circle-ring,112.0,112.0,train
rZlUjyp7CmwigkNBr2OY,0.1,False,circle-square-square,112.0,112.0,test
KsP4zYT20bmBANTq6YHE,0.1,False,square-rectangle-square-shoe,112.0,112.0,train
llhsC6zNCDzjn7dpGzMl,0.1,False,shoe-square-ellipse-ring,112.0,112.0,val
jM9fEhglIVoAL11iAgQX,0.1,False,circle,112.0,112.0,test
NdPXQGZi7Uq9V9cI8p3f,0.1,False,rectangle-ellipse-rectangle,112.0,112.0,train
cZKxK8gmrAN8VB4uAXkT,0.1,False,circle-shoe,112.0,112.0,test
BXWA7YTlMWxmnvV2FCO5,0.1,False,rectangle,112.0,112.0,train
NZiADBSZfHGSjHsbPc8i,0.1,False,rectangle-polygon-ellipse,112.0,112.0,train
Aan0SxXIDBZlyP7ri8qv,0.1,False,shoe-rectangle-rectangle-polygon,112.0,112.0,val
Lj5Os58p5y1wfRc67TpE,0.1,False,ring-ellipse-ellipse-ellipse,112.0,112.0,train
V6BZ18JnzJrJXPgAcaol,0.1,False,ellipse-shoe,112.0,112.0,test
Ub7zzaFUCSEmN31JMj3G,0.1,False,polygon-ring-ellipse,112.0,112.0,train
PEa7mhIHZwb65xN70Ud1,0.1,False,circle-shoe-shoe,112.0,112.0,train
dNpWPcKBK9LUnADo5FtC,0.1,False,shoe,112.0,112.0,train
ehfXKDMsqqEgr4PEkxwP,0.1,False,square,112.0,112.0,test
GIhWQuqVbIeGokvzzD0q,0.1,False,ellipse-square-square-ellipse,112.0,112.0,test
rLRxTLlvSqtHL0RSRFJ6,0.1,False,ellipse,112.0,112.0,val
WMw3qmpVaZlPfiKjTD4N,0.1,False,square-circle,112.0,112.0,test
8kYMa3qmUVlRUAOUGvNu,0.1,False,circle-ring-ellipse-shoe,112.0,112.0,val
ug4sIWr1wwqjtoB4yisH,0.1,False,shoe-shoe-square,112.0,112.0,train
gfmKIvJfMHKeyEBs9a3m,0.1,False,shoe-square-square-circle,112.0,112.0,val
HHiQCJK1IQ7BzFQeqra8,0.1,False,ring-shoe-shoe-ellipse,112.0,112.0,train
5Q4jZ2GFnO7mHAYY5q7F,0.1,False,polygon-ring-square-circle,112.0,112.0,train
wyxDrgzJjOWaZRCeogWe,0.1,False,square-polygon,112.0,112.0,train
dv7egofJdyf5mlx0K0GO,0.1,False,ellipse-polygon,112.0,112.0,train
LctucXDjGcnQOLg5QLGg,0.1,False,circle-circle,112.0,112.0,test
ZOGnQsK9ksJHbId1VpOO,0.1,False,ellipse-ring-square,112.0,112.0,test
gXVvZ2ohuWL3c2lb90Wa,0.1,False,rectangle-ring-ellipse,112.0,112.0,test
ZoBpOsVaYINGVCBjRfZ7,0.1,False,ring-circle-ellipse,112.0,112.0,val
qLWeeXo89eht1nSlTM5g,0.1,False,rectangle-ellipse-rectangle-shoe,112.0,112.0,val
VxdPLvqeAVpteIISzck9,0.1,False,polygon-rectangle-circle-polygon,112.0,112.0,train
IR3I5PL1ZC76Qaj8mGHk,0.1,False,ellipse-square-ring,112.0,112.0,test
bBwrrfEvrK3rVYIftSb4,0.1,False,shoe,112.0,112.0,test
RuANC9iVynSji4LDxRJe,0.1,False,square-circle,112.0,112.0,train
RwzaBR6YxT6rQWuzDutc,0.1,False,shoe,112.0,112.0,test
C5r24BbqXTcBRZJxa8A0,0.1,False,shoe-circle-rectangle-rectangle,112.0,112.0,test
UXdmbHIYPrqdf9NjeMCv,0.1,False,square-shoe,112.0,112.0,train
id4XQoGlwcaFJ5kl04V4,0.1,False,rectangle-ring,112.0,112.0,val
64W43anD3uDweUoZ2tfk,0.1,False,square-circle-rectangle-ring,112.0,112.0,train
RJ5knZ747xEeNs99vnaE,0.1,False,circle,112.0,112.0,train
3OPipgBKW24cN1om1T2g,0.1,False,rectangle,112.0,112.0,train
ZtkjmDqMzQFJQYxV2Vgd,0.1,False,circle-square-square-ellipse,112.0,112.0,train
sjp9CXV1vmIejMihyWXX,0.1,False,square-polygon-shoe,112.0,112.0,train
euBxEayhO9AuUX7s9l6M,0.1,False,ellipse-shoe-ellipse,112.0,112.0,test
pi5zsQ2cxUmlnGaaE9LE,0.1,False,circle-square-ring,112.0,112.0,train
xDibE4069Axep2F7nsMc,0.1,False,square-polygon-rectangle,112.0,112.0,train
yTVHiIxPAdUzeUGLiDFD,0.1,False,rectangle-rectangle,112.0,112.0,val
1vLWkp4uhnMhCEhfjmXT,0.1,False,rectangle,112.0,112.0,train
0Cgy28pNlaGhu4GMcewl,0.1,False,circle-polygon,112.0,112.0,train
VhU8MjZjfEVwkjqRKXQr,0.1,False,ring,112.0,112.0,val
LbuU7gIhPl2Nzw7FfqqB,0.1,False,square-shoe,112.0,112.0,val
mLfSTCghDcFo4u6GG0hm,0.1,False,rectangle-rectangle,112.0,112.0,train
ZNkAl4L6ZKspSGDp51qY,0.1,False,rectangle-shoe-circle-ellipse,112.0,112.0,train
AtwZqVVOuzP8tLkU9qgN,0.1,False,shoe-polygon-square,112.0,112.0,val
xyCuaoTUqOcuvzeM9Pw0,0.1,False,polygon-shoe-ellipse-square,112.0,112.0,train
IdhqawrekRyuUoM69c4r,0.1,False,shoe-ring,112.0,112.0,train
T32T5N3NBdQFF2DUcUsB,0.1,False,ring-circle-ring,112.0,112.0,train
5Tshm4MKjtNJWX9U9Mxm,0.1,False,polygon-ring-square,112.0,112.0,test
MirFjLHXuSlPhlcuJAPb,0.1,False,circle-ellipse,112.0,112.0,train
NgM86rRtNtRPbtWWYSjY,0.1,False,square-polygon,112.0,112.0,train
BNCH1BTydZdPnhIjV243,0.1,False,rectangle-square-ring,112.0,112.0,train
Hzo4s7ddTKUbn1rCPlGo,0.1,False,ring,112.0,112.0,train
XHkZgBzqWmN2VJcvJZ25,0.1,False,shoe,112.0,112.0,train
dV99Eri02paBNaaf58da,0.1,False,rectangle-ellipse-circle-rectangle,112.0,112.0,train
BsOBQRpcge2VqTQZE9xH,0.1,False,shoe-rectangle-rectangle-polygon,112.0,112.0,val
XyZ0qCnGSrL3O8HPTWFC,0.1,False,polygon-shoe-ellipse-polygon,112.0,112.0,test
Ir2ikkx7hlU1ln1CDU62,0.1,False,circle-ring-shoe,112.0,112.0,val
GQeJwEYBzEuDsI8kJy4f,0.1,False,rectangle-ring-square-ellipse,112.0,112.0,test
LXLLlEjuXZ98QlixXPH0,0.1,False,square-ring,112.0,112.0,test
FNj02g1Bqkw3JJqiWHwJ,0.1,False,rectangle-ellipse-rectangle,112.0,112.0,train
DvOAbd8C72gyuNtWwjqL,0.1,False,shoe-circle-polygon,112.0,112.0,train
QatGQm0sVCPqoIYfNw3b,0.1,False,square-ellipse-rectangle-polygon,112.0,112.0,train
8GjD7jDnIchHBr9rON7J,0.1,False,polygon-rectangle-polygon,112.0,112.0,train
pI0FyhwKRzu8ztEndS0N,0.1,False,shoe-ellipse-rectangle,112.0,112.0,test
AmnAbJpRuQ2AyDfYjNsR,0.1,False,ellipse,112.0,112.0,train
2o26cWllwytCp1XuPKIf,0.1,False,polygon,112.0,112.0,train
12P2EyyrSPbYMTbvJ5rr,0.1,False,ring-shoe-ellipse,112.0,112.0,test
64uKqMF4vkMXKfrYjotM,0.1,False,polygon-circle-rectangle-ring,112.0,112.0,train
aLCXLq99r5MJEstjSoy3,0.1,False,ellipse-shoe,112.0,112.0,train
Ec1yqNr2vdLor4HqfPfO,0.1,False,circle-shoe-circle-ellipse,112.0,112.0,train
bEbjzSKatOVqBxWzxLyY,0.1,False,ellipse-square-rectangle,112.0,112.0,train
sdTbBOcZuY19GORjcQ00,0.1,False,ring-ring,112.0,112.0,train
X3KEwB7oXIdUv95zAhYV,0.1,False,square-square-rectangle,112.0,112.0,train
aQYOcCJ3XWDowkfOa8J7,0.1,False,ellipse-polygon,112.0,112.0,test
X44DxDbBHdzJ2XOmfqDj,0.1,False,polygon-shoe-ellipse-shoe,112.0,112.0,train
RbDUGXuaKmcPIbm522eb,0.1,False,polygon,112.0,112.0,train
jKVKLx2541YwrlZH4hCx,0.1,False,polygon-ring-rectangle,112.0,112.0,train
ICKExtGAI1wl5anbYMHN,0.1,False,ellipse,112.0,112.0,train
1G4wuzCzxRg5qWvHyvJM,0.1,False,ring-square-polygon,112.0,112.0,test
58QwRVoP1vW3w8CTRhU4,0.1,False,circle-polygon-ring,112.0,112.0,test
HIqOIsGC2e8NCNLgGJ3V,0.1,False,ellipse,112.0,112.0,val
EP28rtWjvqwytkCLpS77,0.1,False,ellipse-polygon-square,112.0,112.0,train
ULlF8ocH7R3eRBYOusmu,0.1,False,ellipse,112.0,112.0,train
XTktQO0a93Owpj66lEvN,0.1,False,square-ring-polygon,112.0,112.0,train
XV06OzfMKbHhuJpNmZ8A,0.1,False,ellipse-rectangle,112.0,112.0,val
eZuAgMWQlnPCf1fjr3eu,0.1,False,polygon-polygon,112.0,112.0,train
jm64RN2m8oXKPwIZq70q,0.1,False,shoe,112.0,112.0,val
z1hiQHQion6PgYeEGnpH,0.1,False,circle-polygon-circle-square,112.0,112.0,test
r1LMb780BUmuFGHcZKV1,0.1,False,square-polygon,112.0,112.0,test
kc8065WZtciFK0rbNk4n,0.1,False,circle-ring-rectangle-polygon,112.0,112.0,test
IG3xb33wzod0LEenKhfm,0.1,False,ring-shoe-shoe,112.0,112.0,train
v6SRFdOxlwdEwEg5T7st,0.1,False,circle-circle,112.0,112.0,train
tflJbTEYfTgNCFDLk3FT,0.1,False,shoe-ellipse-ellipse-ring,112.0,112.0,train
teBYQBNyO7bWNARPObe7,0.1,False,shoe-ellipse-rectangle-circle,112.0,112.0,train
pZ9D0i1HJ3lGoGgJtYD1,0.1,False,shoe-ring-polygon,112.0,112.0,train
ULQsNt9IelUIYQCS0KOF,0.1,False,circle,112.0,112.0,train
lWOnDk8MSJa5vqj3rmC5,0.1,False,polygon-square,112.0,112.0,train
wApNOyWvfmLwe7O7kc8v,0.1,False,polygon,112.0,112.0,train
T59aTFXPuPp5JQmEBSRg,0.1,False,polygon,112.0,112.0,train
WptgO5FXoODapLZ1ec1K,0.1,False,shoe-square-rectangle,112.0,112.0,train
R3fAWE5D3mZSYefrksfm,0.1,False,rectangle,112.0,112.0,val
yeAw5FBRNzY8zBu9Hwdc,0.1,False,ring-rectangle,112.0,112.0,train
29wiapPNs1XURHmMqvMz,0.1,False,polygon-ring,112.0,112.0,train
lWaXjwn0mrEzCfLvsUly,0.1,False,square-square-square,112.0,112.0,train
69jkhXXEB9NTtFZOJLQT,0.1,False,rectangle-ring-circle-rectangle,112.0,112.0,test
5u9ftp5co7oiqi5uZjW3,0.1,False,shoe-ring,112.0,112.0,train
QmvHipumPC81812fBlaD,0.1,False,square-ellipse,112.0,112.0,val
c8AQQ7LQqKP1lXm3X7mi,0.1,False,shoe-shoe,112.0,112.0,val
1av1ZxIo68wtbl1AiJX7,0.1,False,ellipse-polygon-ellipse,112.0,112.0,train
qt3eyiezzmeZeCFxP0cP,0.1,False,circle-polygon-rectangle,112.0,112.0,val
yQ6C3bRxMikAL8sN9qQN,0.1,False,ring-shoe,112.0,112.0,train
2dJVkEiDpC0jcPuHtBPN,0.1,False,circle-ring-rectangle,112.0,112.0,train
jg7PZoXem84pkt3aqlzN,0.1,False,shoe-rectangle-rectangle-ellipse,112.0,112.0,val
P1z4u8lUAvUQoEESXPiI,0.1,False,ring,112.0,112.0,train
KqzhyA9N8FQBe0WSK2O4,0.1,False,rectangle-polygon-polygon-shoe,112.0,112.0,test
L9O3XHTb2z6V9WDM0zTT,0.1,False,ring-rectangle-polygon-polygon,112.0,112.0,val
onBCoJa1XHsYd2RY0gTW,0.1,False,square-shoe-rectangle-circle,112.0,112.0,train
Wi5kZTE78KFjzxbrzPHi,0.1,False,rectangle-polygon-circle,112.0,112.0,test
HxBfw8g4TYkwMNwQuSUi,0.1,False,rectangle-square,112.0,112.0,train
3GKd1Eesh1W23VqL3w4y,0.1,False,polygon-ring,112.0,112.0,val
LhYNzAKSZt4wwPMIuKmM,0.1,False,rectangle,112.0,112.0,train
LCh7niUYBztiMWrvSKHj,0.1,False,square-polygon-polygon-shoe,112.0,112.0,train
XaWuKqUsixtBFYBnz3C1,0.1,False,rectangle-rectangle-rectangle-square,112.0,112.0,train
zGCYsUy69RKbpnnldH1x,0.1,False,shoe-ring-shoe-polygon,112.0,112.0,train
o5JcdG4KpAlFwelDLs6O,0.1,False,circle-rectangle,112.0,112.0,test
