,dz,overlap,types,nx,ny
7jjFVz1IQS1pi18ZOj6C,0.1,False,rectangle,112.0,112.0
HSpzH9RDLthxvsGWHT4A,0.1,False,rectangle-square-ellipse-square,112.0,112.0
RvZR32KN3od12rMIt6DM,0.1,False,shoe-rectangle-shoe,112.0,112.0
8QwCoGjs3wubXl15pXuM,0.1,False,rectangle-square-polygon-ring,112.0,112.0
Rc0zgzqBe0nFkmZI9j9e,0.1,False,ellipse,112.0,112.0
AKOLN7gNR7SoSm2HkL8b,0.1,False,ellipse-ring-rectangle,112.0,112.0
eIMwlV3hmQhJUrZNFRTM,0.1,False,rectangle,112.0,112.0
DwujdfUDXYVwtHmTx97S,0.1,False,square-ring-circle,112.0,112.0
Q7Hx322mg4CP9BKZQWzj,0.1,False,circle,112.0,112.0
vH296R7nkC8IvrXcL15z,0.1,False,ellipse-square,112.0,112.0
E4lzBv94qGSsuf74Hsru,0.1,False,rectangle,112.0,112.0
1YLn0Eq9gn2luCWes2y0,0.1,False,polygon-shoe-polygon-rectangle,112.0,112.0
rPClG3DjiSSHf6qInDGC,0.1,False,rectangle-shoe-rectangle,112.0,112.0
EMOZ2xoOUMkA8hbVLsy7,0.1,False,rectangle,112.0,112.0
shXRqWnT18HH1YvkrORS,0.1,False,ellipse-rectangle-polygon,112.0,112.0
w0hSvyTUORLrX28MTbfv,0.1,False,ellipse,112.0,112.0
TaMKYskTUh06ZfFYxkQY,0.1,False,shoe,112.0,112.0
fQYGTFPBjJ1aq5FES52E,0.1,False,square-ring,112.0,112.0
SaFoWb0yqv5yq45dD6qa,0.1,False,circle,112.0,112.0
w2XKchsoB6nZgTzK4OYn,0.1,False,ellipse,112.0,112.0
sfY5ItNRTMqe71CKyv5J,0.1,False,polygon-ellipse,112.0,112.0
UIZl6XibAeqSdNvVuuMd,0.1,False,square,112.0,112.0
kWlFxC115WXApbcW7d0v,0.1,False,square-ellipse-shoe,112.0,112.0
ncwKLTqswvflFsm6wuGo,0.1,False,ring,112.0,112.0
LOjAQ2TMgLr5kuVUN6GL,0.1,False,polygon,112.0,112.0
Set5hAG8jtYQqqpUINlj,0.1,False,circle-ring,112.0,112.0
hfjBmWbF7ZYSkhqNDfQN,0.1,False,rectangle-ellipse-shoe,112.0,112.0
gWXDVNsp3tpivADFfp8f,0.1,False,circle,112.0,112.0
Fow574t7p3ryp7Fw5tTh,0.1,False,polygon-polygon-ring-circle,112.0,112.0
pUtZ4tMNQGzzjfgF6Muk,0.1,False,rectangle-shoe,112.0,112.0
pAYSE3lrCU2iFcYZxOQq,0.1,False,rectangle-circle,112.0,112.0
Pfjg0CIlgowxx6Dv2s8o,0.1,False,circle-square-rectangle,112.0,112.0
Pt2ipNH44RbGlXNrzYcZ,0.1,False,polygon,112.0,112.0
B48KFq6OcTPjlB0oBxzV,0.1,False,ellipse-polygon-ellipse,112.0,112.0
7GXNCiWYjLrLeShtYtW7,0.1,False,shoe-rectangle-rectangle-circle,112.0,112.0
eOvzY1Zw2z1x1HxcWk21,0.1,False,rectangle-square-square,112.0,112.0
AcybuA5RJ2kcwTbYcTiz,0.1,False,ring-shoe-circle,112.0,112.0
c6MhQpqrDV0yyNol1hs2,0.1,False,polygon,112.0,112.0
xrPrj1InFLgsP19QLdXM,0.1,False,square-ring,112.0,112.0
5jgdEDx2ydKs2S7kaiHN,0.1,False,square-ellipse-polygon,112.0,112.0
JRtrrUTmBwoFFFczUGLq,0.1,False,shoe,112.0,112.0
i7Eb968AHXYIUIZXccQ3,0.1,False,square,112.0,112.0
CsBe3jEwdBGdNHwIaXo6,0.1,False,rectangle,112.0,112.0
xUjjliBEkenBskzAdn4C,0.1,False,circle,112.0,112.0
zkDpgHaDQql6eyCAaVz0,0.1,False,square-square-ring-ring,112.0,112.0
QOL5OHumjJ1LUAzM9n3u,0.1,False,rectangle-square,112.0,112.0
0RIDYMo20d7iBHU73IIY,0.1,False,rectangle-circle-circle,112.0,112.0
JZYBXgD3MrqQroV9zPZP,0.1,False,ring-ring,112.0,112.0
k4tcmMfCNq2KwkKqO7My,0.1,False,rectangle,112.0,112.0
Ert4IHI5dALgEf5fqTim,0.1,False,polygon,112.0,112.0
ON5fQgpk3vF7oORDF4TV,0.1,False,rectangle-circle-polygon,112.0,112.0
VKD3ba8JsAvirNy8dUAW,0.1,False,shoe-ellipse-ellipse-circle,112.0,112.0
6DBbf24KQycnKOS1l9J1,0.1,False,square-polygon,112.0,112.0
3cM0GbtoNzZeQLDj6SW8,0.1,False,shoe-ellipse-rectangle-ring,112.0,112.0
qRbt9p1f5Gx1AUnZUWqj,0.1,False,rectangle-square-ellipse-ring,112.0,112.0
tDWL1rO66wyaO9usoUzi,0.1,False,ring-ring-ellipse,112.0,112.0
Fm9mQCW5E6KCLZlQiX9b,0.1,False,circle,112.0,112.0
3bHv5yfU9TnSesdEFUhj,0.1,False,ellipse-square,112.0,112.0
cAuKADAtyo9f0dswwXfv,0.1,False,rectangle-circle-polygon-square,112.0,112.0
qgWo9OkPOj9dGxErFi4A,0.1,False,polygon-ring,112.0,112.0
EhvNd9yA2Sm2XVMGjKA9,0.1,False,ring-ellipse,112.0,112.0
24ufXTuyNEJmTKTh1qo3,0.1,False,rectangle-ring-polygon,112.0,112.0
vYKuZFS66B80BdoFfG6n,0.1,False,polygon-polygon,112.0,112.0
OFMEczfDgjZBo2Ba42Vv,0.1,False,shoe-ring-polygon-shoe,112.0,112.0
Ah85gkSkkrzy7DJAvES8,0.1,False,square-polygon-shoe-shoe,112.0,112.0
rHrjGzrYE1xHyFOIjiR1,0.1,False,polygon,112.0,112.0
xtNM3yUwViGbrdJMgeiJ,0.1,False,ellipse-ring-shoe,112.0,112.0
tKWdmOFoPHkTKouGnPxk,0.1,False,shoe-ellipse-ring-rectangle,112.0,112.0
osni94gqS7eo9CZaVhob,0.1,False,shoe,112.0,112.0
oyypJDOK2kMNgEL2EKud,0.1,False,polygon-rectangle-ellipse,112.0,112.0
Xc9s0TISbbFiyVxTAc5f,0.1,False,circle-square,112.0,112.0
pKoO3Iv0mLD9OYZE6u12,0.1,False,ring-square-ellipse,112.0,112.0
9gdywaDYMLBSf6xmvgQo,0.1,False,square-shoe-shoe-shoe,112.0,112.0
k7BiGlUSTIQTpfXyXQcj,0.1,False,circle,112.0,112.0
TGrMv0ivhUAonOx2PylX,0.1,False,shoe,112.0,112.0
0OIdACnqUslINEWtEUjp,0.1,False,ring,112.0,112.0
HSXZoGsJLzRvSi6iF4dv,0.1,False,shoe-shoe,112.0,112.0
6oo9wBrF2JKjp1kkY1TD,0.1,False,rectangle,112.0,112.0
nqIGfqQ1SCyANKDwNvtL,0.1,False,ellipse-ring-shoe,112.0,112.0
MObcl0JhNadRKgSUAVac,0.1,False,square-ring-shoe,112.0,112.0
axUCsXkYS6GOPBp3h8kZ,0.1,False,ellipse-ellipse,112.0,112.0
oqqUqitG0LuOYHJEdrPY,0.1,False,polygon-circle-ring,112.0,112.0
CGi59I7j4FXVFELj3h06,0.1,False,polygon-ellipse-polygon-square,112.0,112.0
wnaC2xwEls4v7ll3uSo2,0.1,False,ellipse,112.0,112.0
eSEr4tDnZ0xevomxNlLB,0.1,False,ellipse-rectangle-shoe,112.0,112.0
MMUVFLt3B9D3FYzoUSuq,0.1,False,square,112.0,112.0
ghlcPz0hp1tY0fY9zAts,0.1,False,polygon-ring-shoe-rectangle,112.0,112.0
xgNU5fB6w3F4wyDbcjFg,0.1,False,rectangle-shoe-ellipse,112.0,112.0
047Vl7ucCoQUtExgXoSD,0.1,False,shoe,112.0,112.0
zroUeDYOUohUuyu6dQ2U,0.1,False,ring-rectangle-ring,112.0,112.0
dkq2925TzN190cRGUySJ,0.1,False,square,112.0,112.0
CTckuZFYbY6a5b4PDxgj,0.1,False,polygon-shoe-shoe,112.0,112.0
lJihgANuPsnBkaNyYFlS,0.1,False,ellipse-circle,112.0,112.0
9e5nM9mVoLaeTTkkH4y5,0.1,False,circle-ring,112.0,112.0
M2puaTpWx1SFXTrLYe7c,0.1,False,shoe-square-ellipse,112.0,112.0
8uFA6xoPqR2A5LPsLpoP,0.1,False,circle-polygon-rectangle,112.0,112.0
hidQZVMWQIIwbivBH0gb,0.1,False,square,112.0,112.0
dssDfnIYqxekXG7nsawI,0.1,False,ring-ellipse-square,112.0,112.0
uyRrlvWzEj1ykOtkb8c9,0.1,False,polygon,112.0,112.0
ferrUgMqpaE253o9ppDb,0.1,False,circle-shoe,112.0,112.0
zGcL9YO4iY6niruLbdHd,0.1,False,shoe-ellipse-rectangle-polygon,112.0,112.0
uaqIOi4c9kJ4vZDZUyNV,0.1,False,rectangle-square-shoe-ellipse,112.0,112.0
nSkXGjNbNnQHCvGBpLi0,0.1,False,circle-ellipse-polygon-ellipse,112.0,112.0
TlxAPdUvakY4xrCbg5qR,0.1,False,square-rectangle-shoe,112.0,112.0
vlhDYGAirNkObaz7lM8e,0.1,False,rectangle-square,112.0,112.0
OWX5lmbQOLFEoEwCl5ku,0.1,False,square-circle,112.0,112.0
JP8D4TtO80eXkyV9fMhB,0.1,False,ring-ring-rectangle-shoe,112.0,112.0
tIdMTPuglAkZaDMhEAmV,0.1,False,ellipse,112.0,112.0
CM72bRvd3uvVFGVAEXnI,0.1,False,shoe-circle-ring-circle,112.0,112.0
O07wrttwGnopVQ42mMSe,0.1,False,polygon-circle-shoe-shoe,112.0,112.0
68f26rVpZpp9RLzI8FQZ,0.1,False,square-ring-square,112.0,112.0
1C7tTejOgRVyYrjhUGgN,0.1,False,square-rectangle,112.0,112.0
BDUDdE4uhhlQT4J1dl7t,0.1,False,polygon-square-circle-rectangle,112.0,112.0
JWaSnmIY1YTKxOM1ggVj,0.1,False,ellipse-shoe-polygon,112.0,112.0
PEx0UIWiNQHjlZl9DNiO,0.1,False,ellipse,112.0,112.0
MASMgwuOioVDwRuJlB45,0.1,False,ellipse-shoe-polygon-ring,112.0,112.0
JcxbHcp4NR3fpGA7Op41,0.1,False,square,112.0,112.0
onwI9iSwNfnVFOUpBzWp,0.1,False,shoe-polygon-circle,112.0,112.0
zZRcUubpw2KtoMMtOLZU,0.1,False,polygon-rectangle-shoe,112.0,112.0
xSJ9yjHmMRPp7tPxj5f7,0.1,False,polygon-ring-rectangle-circle,112.0,112.0
abOVVeh4By3xc0CnbFtf,0.1,False,rectangle-circle,112.0,112.0
UHwIUFi2Yi4T4qs7EZV1,0.1,False,ellipse-ring-ring,112.0,112.0
5CLCxhYQ52MNXaxP5F6o,0.1,False,ellipse-square-ring-rectangle,112.0,112.0
wtJfVkV8QwkShwppmA08,0.1,False,square,112.0,112.0
wg1YURqCjNyJCzqEayfm,0.1,False,rectangle,112.0,112.0
Fgn9bDOIPxWqrhctYs1b,0.1,False,circle,112.0,112.0
YcmTd266h5gtjIamDHhB,0.1,False,square-polygon-ellipse,112.0,112.0
4TwOBMENSSXP5FGE8TyB,0.1,False,ellipse,112.0,112.0
LoBPYmcOTGCPwpao5NC3,0.1,False,rectangle,112.0,112.0
L1433bFXBJQnaC7Hmyy2,0.1,False,square-ellipse-polygon-ellipse,112.0,112.0
yDqTyEJXFMIXWYh3UiEC,0.1,False,ellipse-ellipse-ring-circle,112.0,112.0
Jee0Vi9sEiNAnYi4UvrG,0.1,False,square,112.0,112.0
abwP5eyGv4FsUvzih6Ed,0.1,False,ring-square-square,112.0,112.0
X6Z9YDCJqoCzfsIIQAeQ,0.1,False,ring-polygon-rectangle-circle,112.0,112.0
0jc9tsrnabfnKF9RxrOq,0.1,False,rectangle,112.0,112.0
CmQVHMhOH8JnNXycDY1m,0.1,False,ring-polygon-circle,112.0,112.0
16ciqlfZTmxgS4IOELm4,0.1,False,square-circle-polygon-circle,112.0,112.0
S0lfNxz3plxDLjhQVEZr,0.1,False,rectangle,112.0,112.0
X3a3VfmGJMGGTJbb3rf5,0.1,False,square,112.0,112.0
POY66VpwvrcwugrFv0Ns,0.1,False,polygon-ring-ellipse-circle,112.0,112.0
HOlKNzxZu5PSm6rzEM3M,0.1,False,square-circle-rectangle-square,112.0,112.0
5qlW4GqMzT3prXcq3iJ3,0.1,False,rectangle-square-polygon-ellipse,112.0,112.0
ajas92yQeeTT84KCnRbm,0.1,False,rectangle-shoe-ring,112.0,112.0
yp6o8kKAkAgZiMg5QKrT,0.1,False,ring-ring,112.0,112.0
29jo4OkQbzHnYapyW9hN,0.1,False,ring-rectangle-ellipse-ellipse,112.0,112.0
eeKkywxcde36sPaz0a5O,0.1,False,ring-shoe,112.0,112.0
TYG2Vo5kcLho0n1gUZPb,0.1,False,ellipse-rectangle-square,112.0,112.0
q2czyKW81Fr27SomMo9L,0.1,False,ellipse-shoe-circle-circle,112.0,112.0
iWeJpAg0EjrftX2knupr,0.1,False,ellipse-square-polygon,112.0,112.0
9FTossKK8kEfuJBoewQH,0.1,False,polygon-ring-shoe,112.0,112.0
5uoCS7IkME56V3Qj4BHU,0.1,False,square-ring-circle,112.0,112.0
QwMY1eVTG8fXZeg2Koae,0.1,False,circle-circle-ellipse,112.0,112.0
mepH2W3nysPxfTNu9s0z,0.1,False,rectangle-square-ring,112.0,112.0
tuC3CfktRkVJ075QdZqr,0.1,False,circle,112.0,112.0
dtmgLGzzc8bgX19aENzv,0.1,False,shoe-shoe-rectangle,112.0,112.0
ohrBrpFkQvIygH9LSSLb,0.1,False,rectangle,112.0,112.0
ka3QyLtv7SO480tb64Y8,0.1,False,ellipse-rectangle-polygon-square,112.0,112.0
nHJusFv6kul00eINfPXR,0.1,False,shoe-ellipse-ellipse-ellipse,112.0,112.0
3m3DuaOAw9LbsTLqQ4Kv,0.1,False,shoe,112.0,112.0
9KbLlaV9GLRRUHerwYA9,0.1,False,ring-rectangle-polygon,112.0,112.0
GMxcMaV7BUS2Kxyeaato,0.1,False,rectangle-circle,112.0,112.0
CMPaTGqfw43ACo50Rym3,0.1,False,shoe-shoe,112.0,112.0
cU3zSDbWU0Zupi9dMs1b,0.1,False,ring-ellipse,112.0,112.0
Az3PFCdxGCEjCpAgpOuS,0.1,False,ring-ellipse-square,112.0,112.0
5ppMTRCUN32bE5uOouKN,0.1,False,circle-ellipse-square-ring,112.0,112.0
1ccZFOHAyEcdxDzvUALN,0.1,False,polygon,112.0,112.0
rObUUEdN6OBQDKVyod1q,0.1,False,circle-polygon-polygon-shoe,112.0,112.0
t5wuunda8YV7I8mAMgEw,0.1,False,polygon-ring-ellipse-rectangle,112.0,112.0
o3NDc9u5euO8Turqfry8,0.1,False,polygon-shoe,112.0,112.0
SZDUiQsYjMiOOTeSrAaQ,0.1,False,circle-shoe-rectangle,112.0,112.0
QMnbtp47hk608HmiICGQ,0.1,False,shoe-rectangle,112.0,112.0
k42v5MNlN3pMI5tQe8GF,0.1,False,ellipse-circle-circle,112.0,112.0
TU8m7XTCRC092KnhCZsZ,0.1,False,circle-polygon-ellipse,112.0,112.0
yKuGM8yik7Y7VgPd6dnf,0.1,False,ellipse-ring,112.0,112.0
lcpaJ6FAEe33TGUtqVJo,0.1,False,polygon-ring,112.0,112.0
vhLX175CkWtv6Wslx3Nl,0.1,False,rectangle-circle,112.0,112.0
pEXdjBnKTbj8zYxG7rzx,0.1,False,polygon-shoe-ring,112.0,112.0
vWOGXiHeEvMhmFt0EJXB,0.1,False,ellipse,112.0,112.0
dVr4DxL80Y92nixZKcl8,0.1,False,polygon-circle,112.0,112.0
25LyIZXPK9kcrrXi6SGG,0.1,False,ellipse,112.0,112.0
63RkmdBP3O2qXfATLjbT,0.1,False,ring-rectangle-shoe,112.0,112.0
T1nmKYpWYJJiG2xaw2d4,0.1,False,shoe,112.0,112.0
ELanEdYfBZTou6Qo5bIC,0.1,False,shoe-ellipse-rectangle,112.0,112.0
Fy9HFL1dYwAqYO6U61ws,0.1,False,ring-shoe-rectangle,112.0,112.0
dXuqpmUFcABYv9U2j2lZ,0.1,False,ring,112.0,112.0
JQAIqvH4N79iAFzmr9NJ,0.1,False,circle-polygon-square,112.0,112.0
1ysB7Np4pgqHtBKWTonl,0.1,False,square-circle-ellipse-polygon,112.0,112.0
FiK1HfZuF3qiiYhlRK1h,0.1,False,ellipse,112.0,112.0
naPtXEEW27Pzg86cFdrG,0.1,False,polygon-polygon-ring,112.0,112.0
KTsDTO1w5ZIbxJNM7qlN,0.1,False,circle-polygon-rectangle,112.0,112.0
zfuFeYR4iG7ST4WDKZzK,0.1,False,shoe-polygon,112.0,112.0
5bc35xw6DYE15zM0KMbR,0.1,False,ring-circle-square-ellipse,112.0,112.0
7Pqu1CWocLGUAgNZH2w7,0.1,False,shoe-square,112.0,112.0
d9pZAsmcSb4MDZJKHC30,0.1,False,square-shoe-square-square,112.0,112.0
8YDED0HdiWznmpH7cFQO,0.1,False,shoe-rectangle,112.0,112.0
8ZDKYohpZ60vkdZExNu3,0.1,False,circle-shoe-polygon-rectangle,112.0,112.0
t4TqmXxkshw16pC2GJiy,0.1,False,rectangle-rectangle,112.0,112.0
OhgsRSz6AF6KyWwCTxCC,0.1,False,circle-rectangle-polygon,112.0,112.0
dSALRbvkUB5ohBxSrps5,0.1,False,ellipse-polygon-ellipse,112.0,112.0
gLo8qCnLPXyO34DfEAvM,0.1,False,rectangle,112.0,112.0
OlGMvEe1Df47ckhHfqh9,0.1,False,polygon-shoe,112.0,112.0
fAeD2iLbVijFTRvTH2ZG,0.1,False,ring-ring-ellipse,112.0,112.0
MvvKeItOveqIXc32zQwF,0.1,False,square,112.0,112.0
uAPL9ednx5crVCduS6cW,0.1,False,polygon-rectangle-ellipse-rectangle,112.0,112.0
XbCj3N6zv6rSlooB13SV,0.1,False,rectangle-ellipse-ring-polygon,112.0,112.0
bH15fROhlaYtmHR1oRKx,0.1,False,circle-ellipse-ellipse,112.0,112.0
tTt3Xejq3Qj148JMK29V,0.1,False,rectangle,112.0,112.0
yhje7TUuDsT5fkWA3ZuB,0.1,False,shoe-polygon-rectangle-ellipse,112.0,112.0
boqJhmNRWcQwk2M5V3GM,0.1,False,ellipse-shoe-ring,112.0,112.0
PqjvyjXhM2mukMQSXckV,0.1,False,square-polygon,112.0,112.0
TNcxbSKKNPv1orinDtBD,0.1,False,rectangle-ellipse-ellipse,112.0,112.0
p0EBcquWUqPGw8sCPXeP,0.1,False,shoe-ellipse-polygon-circle,112.0,112.0
jXxlBdcZc9AY0vWl5y7I,0.1,False,rectangle-square-ring-ring,112.0,112.0
Fair5xGxbUs82wLaZ1Vt,0.1,False,shoe-polygon,112.0,112.0
Hp8ckA0TFyWjh6KG2pQ0,0.1,False,square-square-shoe-shoe,112.0,112.0
4zcl2KOd2UPIhWs8Zdds,0.1,False,rectangle,112.0,112.0
yQFVUJpB7mnuaqVJBUsQ,0.1,False,rectangle-polygon,112.0,112.0
eUYPqIZKI1LY53HwgdWU,0.1,False,shoe-polygon-polygon,112.0,112.0
0FK88UWYRMUnV3prxNup,0.1,False,circle-square-square,112.0,112.0
B6tNK7h40NRkLCw9zCZA,0.1,False,square-polygon,112.0,112.0
PsOA1D3P6WG7KpR549Sy,0.1,False,ellipse-circle,112.0,112.0
cehvD1W6cic2duIKldzB,0.1,False,ring-square-polygon,112.0,112.0
OkLP8lwZhPnNSDEmfSHZ,0.1,False,ring-ring-polygon-circle,112.0,112.0
AEaIwOZGpzmqRFHj9klE,0.1,False,circle-ellipse-shoe,112.0,112.0
E8NlO06r2ijHuTKEUCY6,0.1,False,polygon-shoe,112.0,112.0
mUVnVMhwxnecES80W1Tf,0.1,False,circle-square,112.0,112.0
2kryXTSXZdOmN0ytTq4t,0.1,False,shoe-ring,112.0,112.0
NdtezXykuURlNtJCigT5,0.1,False,circle-ring-square-ellipse,112.0,112.0
vOAWNuG5UoVVm1MAfs8y,0.1,False,circle-square-ellipse-square,112.0,112.0
XGRvdv0iuf9S96nE9hck,0.1,False,ring-polygon-circle,112.0,112.0
GTawIqQqnio5TCsVtGnv,0.1,False,polygon-circle,112.0,112.0
5Xa76szs2pVmOy1Mdmpl,0.1,False,ellipse-rectangle-rectangle-square,112.0,112.0
NjUwoBv32VJN7wwhmkMF,0.1,False,ellipse,112.0,112.0
NBOtEKOoDAnBTfy8AXxb,0.1,False,circle,112.0,112.0
Gh5XHSb6FTjNKG7RpKJU,0.1,False,rectangle-ring-polygon,112.0,112.0
hQfyCPKoqMUpJF2UfoCn,0.1,False,shoe-rectangle-circle,112.0,112.0
DDTTuByyEx4yu9w5C9tX,0.1,False,polygon-circle-circle-shoe,112.0,112.0
o2iSNmb2Dw3qcrvRu4Wp,0.1,False,shoe,112.0,112.0
zL3kCSaord0vV5xhNuDX,0.1,False,ellipse-polygon-ellipse-ring,112.0,112.0
UUckUfrAwMXg9G6ouaUe,0.1,False,polygon-polygon-square-circle,112.0,112.0
jiaQzaxcvxtuVPsXoHvq,0.1,False,ring-rectangle-square,112.0,112.0
xT4yamPWTIFlTFJ0Opdt,0.1,False,square,112.0,112.0
6vvVG9ohzYzDQRh4QhUJ,0.1,False,square-polygon-ring-polygon,112.0,112.0
T31uF8dk4PzT3AAUj2OT,0.1,False,shoe-rectangle-ellipse-rectangle,112.0,112.0
3pWeMFwQt9QMpP3i9KJe,0.1,False,square,112.0,112.0
4kcQfKmebiAxhbD4Bf78,0.1,False,square-ellipse-shoe-rectangle,112.0,112.0
GPlRFClvTkGR85JeW5mA,0.1,False,ellipse-ellipse,112.0,112.0
kNAtWsH6pTid5hTo2lOk,0.1,False,shoe,112.0,112.0
9PzgNoQHoiKYuaKLJ6RT,0.1,False,circle-ring-ring,112.0,112.0
O3veAqSBkjhXQkDuAeto,0.1,False,polygon-rectangle-polygon-square,112.0,112.0
pKtDYIScgUsS873ekkue,0.1,False,circle-rectangle,112.0,112.0
ZLQ1uRhDWzm0JLRJa5pF,0.1,False,shoe-polygon-polygon-ring,112.0,112.0
6BOfh96AojCQ6jHtToYQ,0.1,False,square-square-shoe-ring,112.0,112.0
k3fsjOJYReLY3yc5vzyq,0.1,False,polygon,112.0,112.0
hCIOa67MaJwQSKlrLULP,0.1,False,rectangle-ring,112.0,112.0
mvcjEIO8OI81tp6lO2gl,0.1,False,ring-ellipse-rectangle,112.0,112.0
y7x70Vq7FWCGvnAqq3QF,0.1,False,polygon-ellipse-shoe,112.0,112.0
grfPAjnzLM7JX80bchzs,0.1,False,ellipse-rectangle,112.0,112.0
vjiXIbsgv3ol4fJlxota,0.1,False,polygon-ring-square,112.0,112.0
oTUvAvy0RUz6GRAjCm3E,0.1,False,square-ring,112.0,112.0
Xe4UDCSdAFDFEX9SPSAf,0.1,False,shoe-ring-polygon,112.0,112.0
Xd3egrfPDUQhRaBWEsB0,0.1,False,ellipse-polygon-polygon,112.0,112.0
TSaL3k1Xf7mvS4kIqPXC,0.1,False,polygon-ellipse-shoe,112.0,112.0
eKLsNz4JSOilKIUqgFfe,0.1,False,circle-rectangle-circle,112.0,112.0
h6kP4LhFSlxDM7xIo6Z4,0.1,False,shoe-shoe-square-rectangle,112.0,112.0
Z0ViHLxjSzlsA1O8MeT7,0.1,False,square-polygon-circle,112.0,112.0
wG11Tx8uPXmwTvITTnAR,0.1,False,ellipse-shoe,112.0,112.0
MwiG4LhEcOrW6tztlc5S,0.1,False,polygon,112.0,112.0
nGHD2j1M97b28mjX1ZpL,0.1,False,polygon-shoe-circle-rectangle,112.0,112.0
URNe8CinOgPWAbLV8qS6,0.1,False,square,112.0,112.0
8lHuGC8zVNM76r6ZgNt0,0.1,False,shoe,112.0,112.0
hczh7ztUDZL5LIzeJEx6,0.1,False,circle-shoe-circle-ring,112.0,112.0
HSCg9NJEcQqrnLnhXLUz,0.1,False,square,112.0,112.0
bynrMcmNL0hTU0RnpO9x,0.1,False,ring-square,112.0,112.0
eU4VV3EfGVSFMhEL9Sc9,0.1,False,ellipse,112.0,112.0
UgtcicYqgE09eSBfJ5zX,0.1,False,circle-ring-ellipse,112.0,112.0
wB4llMOAkQm8Hr7prKQr,0.1,False,circle-ellipse,112.0,112.0
dsJryYhTlswdbddRe1yg,0.1,False,square-circle-shoe,112.0,112.0
